task_type,input_token_length,output_token_length,domain,multimodal,structured_input,numerical_reasoning,multi_turn_conversation,grounding_required,creativity_level,response_factuality,hallucination_rate,faithfulness_score,BLEU_score,ROUGE_score,accuracy_score,latency_ms,token_throughput,context_window,memory_usage_GB,cost_per_1K_tokens,on_prem_support,cloud_provider,gpu_availability,fine_tuning_available,compliance_requirements,bias_score,LLM
Code Generation,106,1623,General,0,1,0,0,1,3,2,0.207,0.694,0.445,0.603,0.742,68,413,8192,5.4,0.01969,0,Azure,0,0,GDPR,0.355,GPT
Text Generation,985,1550,Legal,1,1,1,0,1,3,3,0.158,0.815,0.544,0.832,0.66,1242,853,16384,39.6,0.00768,0,Azure,1,1,None,0.221,Mistral
QA,55,1637,Technical,0,0,0,0,0,3,1,0.28,0.987,0.319,0.536,0.665,964,702,16384,33.9,0.01912,0,Azure,0,1,None,0.16,Claude
QA,1000,1309,Legal,0,0,0,0,0,4,5,0.282,0.601,0.562,0.204,0.893,884,72,4096,36.4,0.01485,1,AWS,0,0,None,0.677,Mistral
Classification,482,1089,General,0,0,1,1,0,1,2,0.118,0.739,0.416,0.582,0.893,53,149,4096,31.9,0.00767,0,GCP,0,1,GDPR,0.917,Mistral
Code Generation,499,1663,Legal,1,1,0,1,1,4,4,0.173,0.875,0.364,0.257,0.591,1212,239,8192,30.7,0.00984,1,OpenAI,0,1,HIPAA,0.9,Claude
QA,970,1269,Legal,1,0,0,1,0,4,3,0.282,0.837,0.73,0.783,0.741,1081,832,8192,31.5,0.01819,1,OpenAI,1,0,None,0.513,GPT
Code Generation,601,84,Legal,0,0,1,0,1,1,1,0.047,0.884,0.346,0.428,0.783,372,942,8192,6.7,0.00372,1,AWS,1,0,HIPAA,0.943,GPT
Summarization,474,1842,General,0,1,0,0,0,1,1,0.105,0.874,0.189,0.681,0.821,129,461,16384,31.0,0.00626,0,AWS,1,1,GDPR,0.851,Mistral
Classification,712,1196,Legal,1,1,1,0,0,2,4,0.154,0.814,0.652,0.362,0.877,774,273,4096,11.9,0.00487,1,GCP,1,1,HIPAA,0.293,Claude
QA,702,454,Finance,0,0,1,0,1,5,4,0.294,0.677,0.477,0.4,0.965,207,137,16384,34.8,0.00264,1,OpenAI,0,1,GDPR,0.103,Mistral
Code Generation,946,1691,Finance,1,1,1,0,0,1,3,0.05,0.619,0.811,0.532,0.575,718,906,16384,17.4,0.01701,0,AWS,0,0,GDPR,0.782,Claude
Text Generation,205,874,Medical,1,0,1,0,1,2,3,0.105,0.92,0.618,0.739,0.525,198,308,16384,30.8,0.00339,1,GCP,0,1,HIPAA,0.936,GPT
Summarization,246,1277,Finance,1,0,0,1,1,3,4,0.292,0.758,0.212,0.544,0.812,423,127,4096,13.3,0.00467,0,OpenAI,1,0,None,0.208,GPT
Code Generation,17,1965,Technical,1,0,0,1,0,1,2,0.183,0.958,0.691,0.13,0.503,1412,916,4096,6.2,0.00613,0,Azure,0,1,GDPR,0.467,GPT
Text Generation,1001,1247,General,1,0,0,0,1,1,1,0.145,0.983,0.966,0.672,0.828,940,511,4096,35.7,0.0048,1,GCP,1,0,HIPAA,0.369,Claude
QA,54,1823,Finance,1,0,1,0,0,3,1,0.24,0.623,0.636,0.161,0.525,1123,662,4096,8.7,0.006,1,OpenAI,1,0,HIPAA,0.247,Claude
QA,763,2012,Legal,0,0,1,0,0,1,3,0.27,0.632,0.726,0.848,0.781,1259,301,8192,36.3,0.01277,1,GCP,1,0,None,0.194,GPT
Code Generation,112,1390,Medical,0,1,1,1,1,2,1,0.088,0.794,0.287,0.819,0.501,228,120,16384,36.2,0.01034,1,GCP,1,1,GDPR,0.885,Mistral
Text Generation,844,807,Technical,1,1,1,0,1,3,4,0.245,0.996,0.339,0.9,0.578,904,118,16384,23.0,0.00263,1,OpenAI,1,0,None,0.48,GPT
Summarization,902,267,Technical,1,0,1,0,0,2,5,0.157,0.624,0.533,0.572,0.941,546,792,8192,9.6,0.00626,0,Azure,0,0,None,0.858,GPT
Summarization,903,118,Legal,1,1,0,1,1,1,1,0.23,0.984,0.529,0.653,0.795,135,914,4096,23.8,0.01634,0,GCP,0,1,HIPAA,0.344,Claude
QA,380,398,Legal,0,0,0,0,1,4,3,0.024,0.92,0.811,0.979,0.611,301,882,8192,12.2,0.00447,0,Azure,0,1,None,0.693,Claude
Classification,803,1378,Finance,1,1,0,1,0,4,3,0.226,0.633,0.173,0.954,0.703,1380,913,4096,18.8,0.01663,0,Azure,1,1,GDPR,0.652,GPT
QA,438,1687,Finance,0,1,1,0,0,4,1,0.1,0.802,0.586,0.758,0.897,670,700,4096,4.0,0.01798,1,Azure,1,0,HIPAA,0.894,Mistral
Code Generation,38,428,Technical,0,1,0,1,1,3,1,0.17,0.685,0.648,0.177,0.506,362,939,4096,25.6,0.01025,0,Azure,0,0,GDPR,0.104,Claude
Text Generation,588,514,General,1,0,0,1,0,1,1,0.032,0.861,0.901,0.529,0.808,384,63,16384,13.8,0.01028,0,OpenAI,1,0,GDPR,0.93,GPT
Summarization,938,1620,Finance,0,0,1,1,0,1,4,0.291,0.811,0.283,0.14,0.949,1398,882,8192,11.0,0.01148,1,GCP,0,0,None,0.604,GPT
QA,743,306,Medical,1,1,1,1,0,2,3,0.165,0.748,0.132,0.602,0.564,650,257,8192,24.6,0.00307,0,Azure,1,1,GDPR,0.689,GPT
QA,616,848,General,0,1,1,0,1,5,3,0.203,0.648,0.99,0.324,0.968,1300,267,8192,20.7,0.01833,1,AWS,1,1,GDPR,0.332,GPT
Code Generation,182,159,Medical,1,1,0,0,1,2,1,0.131,0.655,0.285,0.137,0.683,78,129,8192,27.4,0.00969,1,Azure,1,0,HIPAA,0.688,Mistral
QA,160,1420,Technical,0,0,0,1,0,1,2,0.132,0.732,0.921,0.825,0.765,393,796,16384,19.0,0.01512,0,GCP,1,1,GDPR,0.536,GPT
Summarization,905,134,Technical,0,1,1,0,0,1,3,0.287,0.827,0.521,0.932,0.922,643,474,16384,38.1,0.01404,0,Azure,0,0,GDPR,0.702,Mistral
Code Generation,605,1882,Technical,0,1,1,0,1,2,5,0.23,0.88,0.142,0.912,0.764,107,1000,16384,10.9,0.01931,1,GCP,0,0,HIPAA,0.453,GPT
QA,780,434,General,0,1,1,0,0,5,3,0.131,0.933,0.52,0.996,0.858,598,436,4096,39.3,0.01518,0,AWS,1,0,None,0.956,GPT
Code Generation,142,495,Technical,1,0,0,0,0,3,1,0.029,0.935,0.564,0.929,0.755,1218,523,8192,20.2,0.01494,1,GCP,0,1,GDPR,0.202,GPT
QA,409,382,Technical,1,0,0,1,0,4,5,0.158,0.909,0.565,0.622,0.772,393,454,4096,5.9,0.00645,1,AWS,0,1,GDPR,0.696,Mistral
Text Generation,567,1980,Finance,1,0,1,0,1,2,4,0.15,0.757,0.896,0.236,0.747,1427,172,4096,4.3,0.01889,1,OpenAI,1,1,GDPR,0.889,Claude
Code Generation,281,1143,Legal,1,1,1,1,1,5,2,0.226,0.914,0.167,0.57,0.642,367,404,8192,17.1,0.0066,0,GCP,1,1,None,0.419,Claude
QA,419,596,Finance,0,0,1,0,1,3,4,0.259,0.939,0.915,0.786,0.914,880,879,8192,21.8,0.01187,1,GCP,1,1,None,0.395,Mistral
Code Generation,163,228,Legal,0,1,0,0,1,2,3,0.099,0.84,0.294,0.813,0.833,683,706,4096,39.8,0.01083,0,GCP,0,0,None,0.378,GPT
Code Generation,543,207,General,1,1,1,1,1,4,5,0.243,0.84,0.752,0.512,0.718,1323,769,16384,9.3,0.01086,0,AWS,0,0,GDPR,0.338,GPT
QA,167,735,Medical,0,0,0,0,0,1,5,0.202,0.915,0.86,0.716,0.837,1334,279,4096,18.9,0.00225,1,AWS,1,0,HIPAA,0.915,GPT
Classification,463,1467,Medical,1,1,0,1,1,5,1,0.283,0.681,0.873,0.969,0.871,1432,58,8192,39.6,0.00655,1,AWS,1,0,GDPR,0.957,Claude
Code Generation,783,1578,Legal,1,0,0,0,0,1,4,0.231,0.738,0.404,0.39,0.517,446,280,8192,39.7,0.00832,0,Azure,0,0,GDPR,0.13,Mistral
Summarization,952,1146,Technical,1,0,1,0,1,2,4,0.252,0.72,0.247,0.748,0.797,137,705,8192,29.5,0.00285,1,OpenAI,1,1,HIPAA,0.18,Mistral
Classification,401,1824,Finance,0,0,1,0,1,5,3,0.192,0.852,0.776,0.239,0.673,1231,252,4096,34.4,0.01923,0,OpenAI,0,0,None,0.247,Claude
QA,167,1723,Legal,1,1,0,0,1,4,3,0.04,0.8,0.312,0.315,0.561,1438,790,16384,21.4,0.01012,1,Azure,1,0,GDPR,0.877,Claude
QA,759,1992,Legal,0,0,1,0,0,3,4,0.097,0.823,0.992,0.441,0.855,868,569,8192,28.5,0.01285,0,GCP,1,0,HIPAA,0.238,GPT
Code Generation,271,1320,Legal,0,1,1,1,1,2,3,0.058,0.761,0.515,0.519,0.929,739,94,16384,16.2,0.01848,1,OpenAI,1,0,HIPAA,0.729,Mistral
QA,119,400,Legal,0,0,0,0,0,1,2,0.233,0.775,0.869,0.32,0.628,980,702,16384,27.5,0.01975,0,Azure,0,0,None,0.523,GPT
Summarization,972,2041,General,1,1,1,0,0,1,1,0.273,0.984,0.231,0.45,0.895,505,366,8192,14.6,0.0045,1,GCP,1,1,GDPR,0.206,Claude
Classification,200,1181,Technical,1,0,1,1,1,4,1,0.273,0.998,0.731,0.71,0.547,424,896,16384,4.9,0.01479,1,GCP,1,0,HIPAA,0.93,Mistral
QA,974,408,Finance,0,1,0,1,1,3,5,0.129,0.779,0.487,0.725,0.593,1041,332,8192,37.0,0.01567,0,OpenAI,1,1,None,0.475,GPT
Classification,727,1100,Legal,0,1,0,0,0,5,5,0.056,0.862,0.132,0.693,0.512,80,457,16384,6.7,0.01935,1,AWS,1,0,GDPR,0.786,Claude
Classification,352,1144,Finance,0,1,0,1,0,4,2,0.022,0.654,0.961,0.977,0.875,918,697,4096,11.1,0.01923,1,GCP,0,1,None,0.309,GPT
Summarization,423,119,Legal,1,0,0,1,0,3,1,0.041,0.756,0.652,0.621,0.73,1437,124,16384,25.2,0.00831,0,OpenAI,1,1,HIPAA,0.238,Claude
Classification,955,838,Technical,0,1,0,0,0,3,3,0.259,0.891,0.183,0.774,0.785,1202,759,8192,18.9,0.00787,0,Azure,0,1,None,0.247,Mistral
Code Generation,196,856,Technical,1,1,1,0,1,5,2,0.072,0.802,0.537,0.753,0.531,1037,368,4096,32.5,0.01807,1,GCP,0,0,None,0.127,GPT
QA,431,272,Finance,0,0,1,0,1,1,2,0.242,0.61,0.951,0.349,0.893,102,746,16384,21.0,0.00893,0,Azure,1,0,GDPR,0.69,GPT
Text Generation,813,1384,Medical,1,1,1,1,0,2,2,0.082,0.879,0.514,0.397,0.918,879,496,16384,8.2,0.00986,0,OpenAI,1,1,None,0.684,Mistral
Classification,354,920,Technical,0,0,0,0,1,3,2,0.296,0.699,0.329,0.576,0.975,761,227,4096,8.2,0.0196,0,OpenAI,0,0,GDPR,0.686,GPT
Code Generation,473,953,Legal,1,1,0,1,1,2,4,0.162,0.824,0.962,0.373,0.627,157,472,4096,8.9,0.00838,0,OpenAI,0,0,HIPAA,0.453,Claude
Code Generation,822,83,General,1,0,0,0,1,3,3,0.127,0.716,0.809,0.715,0.607,646,991,8192,25.2,0.01152,0,GCP,1,1,HIPAA,0.78,GPT
QA,155,1701,Legal,1,0,0,1,0,5,4,0.255,0.82,0.789,0.923,0.616,99,469,8192,30.3,0.00284,1,OpenAI,1,1,HIPAA,0.871,GPT
Code Generation,368,864,Medical,1,1,0,1,1,4,2,0.298,0.701,0.336,0.988,0.974,94,311,16384,36.3,0.00622,0,GCP,0,1,GDPR,0.825,Mistral
Classification,54,34,Finance,1,1,0,1,0,3,2,0.189,0.843,0.843,0.18,0.506,693,678,4096,35.4,0.01635,1,OpenAI,0,0,HIPAA,0.295,Claude
Text Generation,462,478,Legal,1,0,0,0,0,5,3,0.136,0.97,0.949,0.929,0.648,571,21,8192,33.1,0.00794,0,GCP,1,0,None,0.746,Mistral
Summarization,897,434,Finance,1,0,1,0,1,2,4,0.282,0.788,0.283,0.267,0.933,1380,409,4096,9.2,0.01447,0,AWS,1,0,HIPAA,0.125,Mistral
QA,1010,1086,Finance,1,0,1,1,1,5,2,0.242,0.778,0.601,0.128,0.645,777,102,16384,30.7,0.0067,1,Azure,1,1,HIPAA,0.633,Mistral
Code Generation,727,963,Technical,1,0,1,1,1,1,5,0.16,0.887,0.595,0.873,0.56,1435,859,4096,11.4,0.00732,0,GCP,1,0,GDPR,0.989,GPT
Code Generation,653,670,Medical,1,0,1,0,0,5,3,0.206,0.973,0.122,0.802,0.706,788,348,16384,18.7,0.0151,1,OpenAI,1,1,None,0.116,Mistral
Summarization,333,1213,Medical,0,1,0,1,1,4,3,0.177,0.734,0.566,0.651,0.895,835,710,16384,29.9,0.01976,1,AWS,1,0,GDPR,0.667,Claude
Summarization,911,1153,Technical,0,1,0,0,0,4,2,0.027,0.829,0.782,0.75,0.662,728,226,8192,16.9,0.00222,1,GCP,1,1,None,0.809,Claude
Classification,698,232,General,0,1,0,0,0,2,5,0.125,0.725,0.186,0.477,0.668,1122,726,8192,16.8,0.00759,0,OpenAI,0,0,GDPR,0.611,GPT
QA,600,265,Finance,0,0,1,1,1,3,5,0.193,0.721,0.755,0.456,0.935,541,342,4096,27.5,0.00478,1,OpenAI,0,0,None,0.301,GPT
Summarization,434,1589,Finance,1,1,1,0,0,2,3,0.265,0.823,0.928,0.905,0.736,1343,946,4096,19.7,0.01677,0,Azure,1,1,HIPAA,0.957,Mistral
QA,450,147,Medical,0,1,1,0,0,1,5,0.242,0.987,0.339,0.821,0.926,1377,543,16384,30.6,0.00846,0,AWS,0,0,GDPR,0.209,Claude
Summarization,354,1331,General,1,1,0,1,0,4,1,0.042,0.689,0.553,0.83,0.53,1132,872,4096,34.7,0.01682,0,Azure,0,1,None,0.204,GPT
Summarization,156,32,Technical,0,1,1,1,1,2,3,0.102,0.892,0.633,0.814,0.819,1469,571,8192,5.6,0.00337,0,AWS,0,0,HIPAA,0.818,Claude
Code Generation,919,350,Finance,0,0,1,0,1,3,1,0.278,0.861,0.37,0.313,0.561,1456,922,16384,13.0,0.00787,0,AWS,0,1,HIPAA,0.845,Claude
Classification,920,1514,General,0,1,0,0,1,1,1,0.138,0.679,0.692,0.158,0.84,1439,411,16384,17.1,0.00759,1,OpenAI,0,0,GDPR,0.955,Claude
Text Generation,938,1232,General,0,1,0,0,0,5,1,0.12,0.681,0.489,0.709,0.722,171,602,8192,28.1,0.00343,0,GCP,0,1,None,0.721,Mistral
QA,603,1253,General,0,0,0,1,0,1,4,0.064,0.715,0.273,0.377,0.976,1312,649,8192,13.5,0.00684,1,AWS,1,1,None,0.511,Mistral
Classification,704,1239,Legal,0,0,0,1,1,4,1,0.138,0.937,0.34,0.916,0.712,576,414,16384,35.3,0.00941,1,AWS,1,0,None,0.111,GPT
Summarization,193,860,Finance,0,1,0,0,0,1,5,0.235,0.94,0.125,0.975,0.502,176,740,8192,39.8,0.01436,1,AWS,1,0,HIPAA,0.401,Claude
Summarization,193,731,Finance,1,1,1,1,1,4,2,0.121,0.938,0.657,0.337,0.602,474,557,8192,37.4,0.00684,0,GCP,1,1,GDPR,0.547,Claude
Classification,566,1588,Technical,0,1,0,1,0,4,5,0.098,0.658,0.492,0.971,0.902,1112,345,8192,5.5,0.01643,1,AWS,0,1,None,0.962,GPT
QA,623,1750,Medical,0,1,1,1,0,4,4,0.096,0.869,0.258,0.871,0.559,410,544,8192,36.8,0.01609,1,OpenAI,1,0,None,0.482,Claude
Code Generation,314,530,General,0,0,1,1,0,3,4,0.286,0.975,0.826,0.67,0.836,534,243,8192,14.4,0.01125,0,OpenAI,0,0,HIPAA,0.313,GPT
Summarization,806,1366,Finance,1,0,1,1,0,4,3,0.02,0.714,0.449,0.74,0.853,430,87,8192,18.6,0.01428,1,OpenAI,1,1,None,0.792,Claude
Code Generation,750,255,General,1,1,0,1,1,2,1,0.067,0.844,0.959,0.973,0.856,336,958,16384,37.4,0.00532,0,AWS,0,0,HIPAA,0.269,Mistral
QA,133,1279,Medical,0,1,0,1,0,4,5,0.249,0.832,0.84,0.3,0.83,159,623,4096,31.7,0.01468,1,Azure,0,0,GDPR,0.36,Mistral
QA,53,974,General,0,1,0,1,0,4,3,0.015,0.713,0.443,0.658,0.66,1453,111,4096,4.3,0.01734,1,AWS,1,0,GDPR,0.114,Claude
QA,827,1852,Technical,1,0,0,1,0,1,2,0.096,0.695,0.787,0.946,0.8,767,809,4096,26.1,0.00463,0,Azure,1,1,GDPR,0.97,Mistral
Summarization,983,1924,General,0,1,1,1,0,4,2,0.096,0.685,0.34,0.668,0.895,1045,76,16384,5.3,0.00281,1,Azure,1,0,HIPAA,0.59,Mistral
Classification,503,2009,Technical,1,1,0,0,0,2,4,0.109,0.79,0.906,0.805,0.752,979,365,8192,22.4,0.00925,1,OpenAI,0,1,None,0.336,Mistral
Summarization,35,1734,Finance,0,1,1,0,1,3,2,0.238,0.725,0.27,0.357,0.97,1100,458,16384,31.5,0.01969,0,Azure,1,0,None,0.595,Claude
Text Generation,614,106,General,1,0,0,1,0,4,5,0.113,0.83,0.791,0.712,0.679,273,539,4096,17.5,0.00517,1,GCP,0,1,None,0.881,GPT
QA,983,1357,General,1,1,0,1,0,1,5,0.245,0.784,0.123,0.177,0.761,1294,299,4096,6.7,0.01984,0,Azure,0,1,HIPAA,0.53,Mistral
Classification,716,1197,Medical,0,0,1,0,0,1,5,0.244,0.771,0.533,0.171,0.535,111,304,8192,24.9,0.00869,0,AWS,1,0,None,0.359,Mistral
Code Generation,150,1461,Legal,1,0,0,1,0,2,5,0.168,0.666,0.102,0.593,0.998,200,986,8192,25.5,0.00774,1,AWS,1,0,None,0.683,GPT
QA,246,99,Finance,1,1,1,0,1,2,1,0.224,0.676,0.801,0.552,0.607,1068,904,8192,37.3,0.01931,1,OpenAI,0,0,None,0.917,Claude
QA,171,106,Legal,1,1,1,0,1,2,5,0.243,0.722,0.311,0.876,0.699,1381,380,4096,21.8,0.00764,0,OpenAI,0,1,None,0.509,Mistral
Text Generation,71,1103,Legal,0,1,1,1,0,4,2,0.066,0.62,0.568,0.426,0.698,1242,873,8192,33.3,0.01774,0,GCP,1,0,GDPR,0.246,GPT
QA,523,1551,General,0,0,1,0,0,5,1,0.082,0.869,0.792,0.104,0.876,921,514,8192,36.2,0.01134,1,OpenAI,0,0,HIPAA,0.166,Claude
Code Generation,974,233,Medical,0,0,1,0,0,2,2,0.199,0.693,0.247,0.422,0.545,75,259,8192,18.4,0.00544,0,OpenAI,0,1,HIPAA,0.478,Mistral
Code Generation,980,1392,Legal,1,1,1,1,1,2,5,0.224,0.66,0.471,0.184,0.775,329,934,4096,5.1,0.01765,0,AWS,1,1,None,0.452,GPT
Classification,790,605,Finance,1,0,0,0,0,3,2,0.091,0.648,0.759,0.426,0.673,167,778,16384,36.8,0.00453,1,Azure,0,1,GDPR,0.454,Claude
Text Generation,373,757,Legal,0,0,0,0,1,5,2,0.019,0.727,0.349,0.862,0.612,1275,103,4096,21.9,0.00651,0,AWS,1,1,HIPAA,0.971,Mistral
QA,326,183,General,1,0,1,1,0,1,5,0.123,0.613,0.787,0.973,0.785,1465,409,4096,13.3,0.01686,1,OpenAI,1,1,HIPAA,0.993,GPT
Classification,1003,477,Legal,1,0,1,1,0,2,2,0.166,0.968,0.7,0.139,0.903,866,849,4096,21.7,0.00512,1,AWS,1,1,HIPAA,0.538,GPT
Classification,742,117,Technical,1,0,1,1,1,4,3,0.143,0.696,0.44,0.91,0.556,793,339,4096,10.4,0.01469,1,Azure,1,1,HIPAA,0.79,GPT
Summarization,789,264,General,0,0,1,1,0,4,4,0.142,0.726,0.548,0.188,0.91,100,954,8192,13.8,0.00385,0,Azure,0,0,None,0.201,GPT
Classification,83,887,Technical,1,0,1,0,1,4,4,0.238,0.849,0.556,0.141,0.722,659,744,8192,5.1,0.00287,0,OpenAI,0,0,GDPR,0.532,Claude
QA,147,1920,Finance,0,1,0,0,0,1,4,0.159,0.929,0.641,0.498,0.759,388,45,4096,18.7,0.01321,1,AWS,0,0,HIPAA,0.238,GPT
Summarization,940,768,Technical,0,1,1,1,1,5,4,0.284,0.916,0.348,0.177,0.636,1255,955,8192,29.0,0.01273,0,AWS,1,1,None,0.366,Claude
Summarization,200,1626,Legal,1,1,1,0,1,3,4,0.031,0.787,0.964,0.6,0.812,956,29,8192,32.0,0.00435,1,Azure,0,1,None,0.722,Mistral
QA,556,1313,Legal,1,0,1,0,1,1,1,0.295,0.911,0.241,0.414,0.702,1087,349,8192,20.2,0.00575,1,AWS,1,0,GDPR,0.709,GPT
Summarization,879,185,Technical,0,0,1,1,0,2,2,0.197,0.89,0.96,0.653,0.61,1197,264,8192,24.0,0.01931,1,OpenAI,1,0,HIPAA,0.325,Mistral
Code Generation,429,551,Finance,1,1,0,0,0,3,4,0.274,0.889,0.845,0.314,0.913,627,877,8192,23.4,0.01021,0,OpenAI,1,0,GDPR,0.786,GPT
Summarization,11,1355,Medical,1,1,0,0,0,3,4,0.033,0.689,0.2,0.439,0.679,555,111,4096,33.5,0.01494,0,OpenAI,1,1,None,0.233,GPT
QA,630,236,General,1,1,0,1,1,4,1,0.033,0.877,0.601,0.359,0.847,143,992,8192,36.4,0.01424,0,OpenAI,0,0,HIPAA,0.614,GPT
Summarization,849,573,Medical,0,1,0,1,1,5,5,0.184,0.997,0.126,0.571,0.704,830,187,4096,4.9,0.01492,1,AWS,0,0,None,0.205,GPT
Classification,345,33,Technical,1,0,0,0,0,4,2,0.033,0.687,0.828,0.818,0.559,284,165,8192,35.2,0.01571,1,GCP,1,0,HIPAA,0.306,Claude
Text Generation,147,698,Legal,1,0,0,1,0,4,2,0.048,0.864,0.841,0.404,0.53,909,668,4096,17.1,0.01186,0,Azure,0,0,HIPAA,0.92,Mistral
Summarization,985,1304,General,0,0,1,0,1,1,1,0.121,0.886,0.733,0.739,0.842,1388,52,4096,30.8,0.01316,0,AWS,1,0,GDPR,0.323,GPT
Summarization,22,1716,General,1,1,0,1,0,1,1,0.254,0.901,0.302,0.386,0.659,815,424,16384,17.1,0.01583,1,Azure,1,0,HIPAA,0.823,Mistral
Text Generation,643,140,Technical,0,0,1,0,1,5,3,0.161,0.713,0.47,0.539,0.733,564,591,16384,35.1,0.01131,1,AWS,0,1,None,0.25,Claude
Summarization,724,1625,General,1,1,1,1,1,1,3,0.291,0.667,0.511,0.893,0.975,1017,892,4096,11.3,0.00332,0,GCP,1,0,HIPAA,0.957,GPT
Summarization,54,1782,Medical,1,0,0,1,1,1,2,0.084,0.839,0.117,0.804,0.794,203,644,16384,28.9,0.00558,1,OpenAI,1,0,None,0.925,GPT
Text Generation,290,842,Legal,1,1,1,0,0,5,2,0.179,0.873,0.938,0.252,0.609,1335,21,8192,18.6,0.00493,1,Azure,0,0,GDPR,0.732,GPT
Code Generation,619,1737,Legal,1,0,1,0,0,3,1,0.266,0.726,0.822,0.752,0.571,599,222,16384,6.5,0.01962,1,GCP,1,1,None,0.935,Mistral
Summarization,909,560,Technical,1,1,0,1,0,5,5,0.068,0.783,0.774,0.349,0.657,693,967,8192,40.0,0.00869,0,AWS,1,0,HIPAA,0.72,Claude
Text Generation,759,891,General,1,0,1,1,1,5,3,0.021,0.775,0.651,0.683,0.787,339,563,4096,12.0,0.01255,1,AWS,0,1,None,0.587,GPT
QA,201,1801,Technical,1,0,0,1,0,2,2,0.12,0.958,0.439,0.188,0.53,139,820,4096,9.9,0.01528,0,AWS,0,1,HIPAA,0.334,Claude
Summarization,316,1440,Finance,0,1,1,1,1,5,3,0.286,1.0,0.163,0.998,0.521,948,14,4096,27.2,0.00271,1,GCP,1,0,GDPR,0.206,Claude
Classification,949,1314,General,1,0,0,0,0,3,1,0.208,0.669,0.661,0.997,0.942,1464,820,4096,16.5,0.00957,1,GCP,0,0,GDPR,0.804,GPT
Code Generation,860,1123,Medical,1,1,0,1,0,4,3,0.164,0.938,0.855,0.52,0.879,1281,478,8192,13.1,0.01379,1,AWS,0,1,HIPAA,0.941,Claude
QA,60,1010,Legal,1,1,0,1,1,3,1,0.181,0.85,0.519,0.629,0.738,1316,706,16384,18.1,0.01457,0,Azure,0,1,None,0.382,GPT
Text Generation,657,160,Legal,1,1,0,0,1,3,2,0.245,0.813,0.804,0.352,0.612,184,998,4096,8.3,0.01174,1,Azure,1,0,GDPR,0.537,GPT
Text Generation,819,1291,Finance,0,0,1,1,0,5,2,0.221,0.83,0.957,0.691,0.774,1160,183,4096,30.2,0.01583,1,AWS,1,0,None,0.201,Claude
Classification,332,1090,Medical,1,1,0,1,0,3,4,0.162,0.979,0.452,0.513,0.979,636,867,8192,7.6,0.01491,1,AWS,0,1,GDPR,0.511,Mistral
Text Generation,890,248,Legal,1,0,0,1,0,3,4,0.096,0.844,0.219,0.987,0.731,353,345,8192,7.9,0.01029,0,OpenAI,1,0,HIPAA,0.959,Mistral
Code Generation,770,1191,Technical,0,1,1,1,0,1,4,0.066,0.628,0.974,0.814,0.546,1181,288,8192,27.0,0.01795,1,OpenAI,1,1,GDPR,0.976,Claude
QA,929,217,Technical,0,0,0,1,1,1,5,0.132,0.605,0.167,0.443,0.899,153,352,8192,8.8,0.0124,0,GCP,1,1,GDPR,0.391,Mistral
Summarization,185,1180,Medical,0,0,1,0,1,2,1,0.23,0.74,0.526,0.994,0.634,55,762,16384,38.3,0.00552,0,GCP,1,0,HIPAA,0.196,GPT
Summarization,362,1527,Medical,0,0,1,0,0,3,5,0.136,0.664,0.93,0.483,0.529,956,190,8192,34.0,0.01175,0,AWS,0,0,GDPR,0.137,Mistral
Code Generation,687,1040,Finance,1,1,0,1,0,3,3,0.013,0.956,0.45,0.852,0.612,1039,444,4096,5.6,0.01172,0,Azure,0,1,HIPAA,0.431,Claude
QA,369,1035,General,0,1,0,0,1,4,5,0.126,0.769,0.813,0.433,0.638,484,726,8192,37.5,0.01283,1,GCP,0,1,None,0.36,Mistral
Text Generation,108,852,Technical,1,1,1,1,1,1,2,0.043,0.818,0.279,0.168,0.767,925,434,16384,12.4,0.00696,0,OpenAI,1,0,GDPR,0.882,GPT
Code Generation,188,720,Medical,0,1,0,1,1,5,2,0.145,0.736,0.769,0.391,0.636,894,463,4096,25.3,0.00276,0,OpenAI,0,0,GDPR,0.885,Mistral
QA,16,432,Medical,0,0,1,1,1,3,2,0.123,0.928,0.214,0.933,0.776,1458,908,8192,25.2,0.01809,0,AWS,1,1,None,0.2,GPT
Text Generation,464,1834,Legal,1,1,0,1,1,3,5,0.278,0.668,0.197,0.41,0.568,1433,795,8192,18.8,0.01835,1,OpenAI,1,1,HIPAA,0.672,GPT
Summarization,730,1547,General,0,1,0,0,0,1,4,0.167,0.612,0.854,0.523,0.582,594,604,4096,13.8,0.00271,0,AWS,1,1,HIPAA,0.798,Mistral
QA,35,497,Legal,0,0,0,0,1,4,2,0.281,0.875,0.577,0.958,0.65,1369,112,8192,31.6,0.01548,0,AWS,0,1,HIPAA,0.428,GPT
Summarization,55,2001,General,1,0,0,0,1,2,3,0.216,0.705,0.268,0.159,0.951,76,139,16384,38.6,0.01688,1,GCP,0,0,None,0.918,GPT
Code Generation,415,1207,Legal,1,1,1,0,1,4,5,0.056,0.862,0.589,0.501,0.826,771,982,16384,14.0,0.00884,0,Azure,0,1,None,0.216,Claude
Classification,750,1399,Technical,1,1,0,0,0,1,2,0.296,0.947,0.308,0.12,0.699,63,112,8192,34.8,0.01903,0,OpenAI,0,0,None,0.255,GPT
Summarization,840,844,Finance,0,0,1,1,1,2,1,0.169,0.718,0.692,0.802,0.814,78,929,16384,10.6,0.01765,1,GCP,0,1,None,0.466,GPT
